0xxx0xxxxxxxxxxxxxxxx 00000001 # IE=0 (during fetch)
0xxx10000010001010100 00000001 # or bp, e
0xxx10000010001010101 00000001 # or bp, bp
0xxx10000010001010110 00000001 # or bp, sp
0xxx10000010001100000 00000001 # or sp, a
0xxx10000010001100001 00000001 # or sp, b
0xxx10000010001100010 00000001 # or sp, c
0xxx10000010001100011 00000001 # or sp, d
0xxx10000010001100100 00000001 # or sp, e
0xxx10000010001100101 00000001 # or sp, bp
0xxx10000010001100110 00000001 # or sp, sp
0xxx10000011000000000 00000001 # xor a, a
0xxx10000011000000001 00000001 # xor a, b
0xxx10000011000000010 00000001 # xor a, c
0xxx10000011000000011 00000001 # xor a, d
0xxx10000011000000100 00000001 # xor a, e
0xxx10000011000000101 00000001 # xor a, bp
0xxx10000011000000110 00000001 # xor a, sp
0xxx10000011000010000 00000001 # xor b, a
0xxx10000011000010001 00000001 # xor b, b
0xxx10000011000010010 00000001 # xor b, c
0xxx10000011000010011 00000001 # xor b, d
0xxx10000011000010100 00000001 # xor b, e
0xxx10000011000010101 00000001 # xor b, bp
0xxx10000011000010110 00000001 # xor b, sp
0xxx10000011000100000 00000001 # xor c, a
0xxx10000011000100001 00000001 # xor c, b
0xxx10000011000100010 00000001 # xor c, c
0xxx10000011000100011 00000001 # xor c, d
0xxx10000011000100100 00000001 # xor c, e
0xxx10000011000100101 00000001 # xor c, bp
0xxx10000011000100110 00000001 # xor c, sp
0xxx10000011000110000 00000001 # xor d, a
0xxx10000011000110001 00000001 # xor d, b
0xxx10000011000110010 00000001 # xor d, c
0xxx10000011000110011 00000001 # xor d, d
0xxx10000011000110100 00000001 # xor d, e
0xxx10000011000110101 00000001 # xor d, bp
0xxx10000011000110110 00000001 # xor d, sp
0xxx10000011001000000 00000001 # xor e, a
0xxx10000011001000001 00000001 # xor e, b
0xxx10000011001000010 00000001 # xor e, c
0xxx10000011001000011 00000001 # xor e, d
0xxx10000011001000100 00000001 # xor e, e
0xxx10000011001000101 00000001 # xor e, bp
0xxx10000011001000110 00000001 # xor e, sp
0xxx10000011001010000 00000001 # xor bp, a
0xxx10000011001010001 00000001 # xor bp, b
0xxx10000011001010010 00000001 # xor bp, c
0xxx10000011001010011 00000001 # xor bp, d
0xxx10000011001010100 00000001 # xor bp, e
0xxx10000011001010101 00000001 # xor bp, bp
0xxx10000011001010110 00000001 # xor bp, sp
0xxx10000011001100000 00000001 # xor sp, a
0xxx10000011001100001 00000001 # xor sp, b
0xxx10000011001100010 00000001 # xor sp, c
0xxx10000011001100011 00000001 # xor sp, d
0xxx10000011001100100 00000001 # xor sp, e
0xxx10000011001100101 00000001 # xor sp, bp
0xxx10000011001100110 00000001 # xor sp, sp
0xxx10000011100000000 00000001 # shr a, a
0xxx10000011100000001 00000001 # shr a, b
0xxx10000011100000010 00000001 # shr a, c
0xxx10000011100000011 00000001 # shr a, d
0xxx10000011100000100 00000001 # shr a, e
0xxx10000011100000101 00000001 # shr a, bp
0xxx10000011100000110 00000001 # shr a, sp
0xxx10000011100010000 00000001 # shr b, a
0xxx10000011100010001 00000001 # shr b, b
0xxx10000011100010010 00000001 # shr b, c
0xxx10000011100010011 00000001 # shr b, d
0xxx10000011100010100 00000001 # shr b, e
0xxx10000011100010101 00000001 # shr b, bp
0xxx10000011100010110 00000001 # shr b, sp
0xxx10000011100100000 00000001 # shr c, a
0xxx10000011100100001 00000001 # shr c, b
0xxx10000011100100010 00000001 # shr c, c
0xxx10000011100100011 00000001 # shr c, d
0xxx10000011100100100 00000001 # shr c, e
0xxx10000011100100101 00000001 # shr c, bp
0xxx10000011100100110 00000001 # shr c, sp
0xxx10000011100110000 00000001 # shr d, a
0xxx10000011100110001 00000001 # shr d, b
0xxx10000011100110010 00000001 # shr d, c
0xxx10000011100110011 00000001 # shr d, d
0xxx10000011100110100 00000001 # shr d, e
0xxx10000011100110101 00000001 # shr d, bp
0xxx10000011100110110 00000001 # shr d, sp
0xxx10000011101000000 00000001 # shr e, a
0xxx10000011101000001 00000001 # shr e, b
0xxx10000011101000010 00000001 # shr e, c
0xxx10000011101000011 00000001 # shr e, d
0xxx10000011101000100 00000001 # shr e, e
0xxx10000011101000101 00000001 # shr e, bp
0xxx10000011101000110 00000001 # shr e, sp
0xxx10000011101010000 00000001 # shr bp, a
0xxx10000011101010001 00000001 # shr bp, b
0xxx10000011101010010 00000001 # shr bp, c
0xxx10000011101010011 00000001 # shr bp, d
0xxx10000011101010100 00000001 # shr bp, e
0xxx10000011101010101 00000001 # shr bp, bp
0xxx10000011101010110 00000001 # shr bp, sp
0xxx10000011101100000 00000001 # shr sp, a
0xxx10000011101100001 00000001 # shr sp, b
0xxx10000011101100010 00000001 # shr sp, c
0xxx10000011101100011 00000001 # shr sp, d
0xxx10000011101100100 00000001 # shr sp, e
0xxx10000011101100101 00000001 # shr sp, bp
0xxx10000011101100110 00000001 # shr sp, sp
0xxx10000000000001111 00000001 # add a, opd
0xxx10000000000011111 00000001 # add b, opd
0xxx10000000000101111 00000001 # add c, opd
0xxx10000000000111111 00000001 # add d, opd
0xxx10000000001001111 00000001 # add e, opd
0xxx10000000001011111 00000001 # add bp, opd
0xxx10000000001101111 00000001 # add sp, opd
0xxx10000000100001111 00000001 # sub a, opd
0xxx10000000100011111 00000001 # sub b, opd
0xxx10000000100101111 00000001 # sub c, opd
0xxx10000000100111111 00000001 # sub d, opd
0xxx10000000101001111 00000001 # sub e, opd
0xxx10000000101011111 00000001 # sub bp, opd
0xxx10000000101101111 00000001 # sub sp, opd
0xxx10000001000001111 00000001 # mul a, opd
0xxx10000001000011111 00000001 # mul b, opd
0xxx10000001000101111 00000001 # mul c, opd
0xxx10000001000111111 00000001 # mul d, opd
0xxx10000001001001111 00000001 # mul e, opd
0xxx10000001001011111 00000001 # mul bp, opd
0xxx10000001001101111 00000001 # mul sp, opd
0xxx10000001100001111 00000001 # and a, opd
0xxx10000001100011111 00000001 # and b, opd
0xxx10000001100101111 00000001 # and c, opd
0xxx10000001100111111 00000001 # and d, opd
0xxx10000001101001111 00000001 # and e, opd
0xxx10000001101011111 00000001 # and bp, opd
0xxx10000001101101111 00000001 # and sp, opd
0xxx10000010000001111 00000001 # or a, opd
0xxx10000010000011111 00000001 # or b, opd
0xxx10000010000101111 00000001 # or c, opd
0xxx10000010000111111 00000001 # or d, opd
0xxx10000010001001111 00000001 # or e, opd
0xxx10000010001011111 00000001 # or bp, opd
0xxx10000010001101111 00000001 # or sp, opd
0xxx10000011000001111 00000001 # xor a, opd
0xxx10000011000011111 00000001 # xor b, opd
0xxx10000011000101111 00000001 # xor c, opd
0xxx10000011000111111 00000001 # xor d, opd
0xxx10000011001001111 00000001 # xor e, opd
0xxx10000011001011111 00000001 # xor bp, opd
0xxx10000011001101111 00000001 # xor sp, opd
0xxx10000011100001111 00000001 # shr a, opd
0xxx10000011100011111 00000001 # shr b, opd
0xxx10000011100101111 00000001 # shr c, opd
0xxx10000011100111111 00000001 # shr d, opd
0xxx10000011101001111 00000001 # shr e, opd
0xxx10000011101011111 00000001 # shr bp, opd
0xxx10000011101101111 00000001 # shr sp, opd
0xxx10000000000001001 00000001 # add a, [memaddr+opd]
0xxx10000000000011001 00000001 # add b, [memaddr+opd]
0xxx10000000000101001 00000001 # add c, [memaddr+opd]
0xxx10000000000111001 00000001 # add d, [memaddr+opd]
0xxx10000000001001001 00000001 # add e, [memaddr+opd]
0xxx10000000001011001 00000001 # add bp, [memaddr+opd]
0xxx10000000001101001 00000001 # add sp, [memaddr+opd]
0xxx10000000100001001 00000001 # sub a, [memaddr+opd]
0xxx10000000100011001 00000001 # sub b, [memaddr+opd]
0xxx10000000100101001 00000001 # sub c, [memaddr+opd]
0xxx10000000100111001 00000001 # sub d, [memaddr+opd]
0xxx10000000101001001 00000001 # sub e, [memaddr+opd]
0xxx10000000101011001 00000001 # sub bp, [memaddr+opd]
0xxx10000000101101001 00000001 # sub sp, [memaddr+opd]
0xxx10000001000001001 00000001 # mul a, [memaddr+opd]
0xxx10000001000011001 00000001 # mul b, [memaddr+opd]
0xxx10000001000101001 00000001 # mul c, [memaddr+opd]
0xxx10000001000111001 00000001 # mul d, [memaddr+opd]
0xxx10000001001001001 00000001 # mul e, [memaddr+opd]
0xxx10000001001011001 00000001 # mul bp, [memaddr+opd]
0xxx10000001001101001 00000001 # mul sp, [memaddr+opd]
0xxx10000001100001001 00000001 # and a, [memaddr+opd]
0xxx10000001100011001 00000001 # and b, [memaddr+opd]
0xxx10000001100101001 00000001 # and c, [memaddr+opd]
0xxx10000001100111001 00000001 # and d, [memaddr+opd]
0xxx10000001101001001 00000001 # and e, [memaddr+opd]
0xxx10000001101011001 00000001 # and bp, [memaddr+opd]
0xxx10000001101101001 00000001 # and sp, [memaddr+opd]
0xxx10000010000001001 00000001 # or a, [memaddr+opd]
0xxx10000010000011001 00000001 # or b, [memaddr+opd]
0xxx10000010000101001 00000001 # or c, [memaddr+opd]
0xxx10000010000111001 00000001 # or d, [memaddr+opd]
0xxx10000010001001001 00000001 # or e, [memaddr+opd]
0xxx10000010001011001 00000001 # or bp, [memaddr+opd]
0xxx10000010001101001 00000001 # or sp, [memaddr+opd]
0xxx10000011000001001 00000001 # xor a, [memaddr+opd]
0xxx10000011000011001 00000001 # xor b, [memaddr+opd]
0xxx10000011000101001 00000001 # xor c, [memaddr+opd]
0xxx10000011000111001 00000001 # xor d, [memaddr+opd]
0xxx10000011001001001 00000001 # xor e, [memaddr+opd]
0xxx10000011001011001 00000001 # xor bp, [memaddr+opd]
