0xxx0xxxxxxxxxxxxxxxx 000000000000000001111000 1 # IE=0 (during fetch)
0xxx10000010000100110 000010001011101000010000 1 # or c, sp
0xxx10000010000110000 000010001110001000011000 1 # or d, a
0xxx10000010000110001 000010001110011000011000 1 # or d, b
0xxx10000010000110010 000010001110101000011000 1 # or d, c
0xxx10000010000110011 000010001110111000011000 1 # or d, d
0xxx10000010000110100 000010001111001000011000 1 # or d, e
0xxx10000010000110101 000010001111011000011000 1 # or d, bp
0xxx10000010000110110 000010001111101000011000 1 # or d, sp
0xxx10000010001000000 000010010010001000100000 1 # or e, a
0xxx10000010001000001 000010010010011000100000 1 # or e, b
0xxx10000010001000010 000010010010101000100000 1 # or e, c
0xxx10000010001000011 000010010010111000100000 1 # or e, d
0xxx10000010001000100 000010010011001000100000 1 # or e, e
0xxx10000010001000101 000010010011011000100000 1 # or e, bp
0xxx10000010001000110 000010010011101000100000 1 # or e, sp
0xxx10000010001010000 000010010110001000101000 1 # or bp, a
0xxx10000010001010001 000010010110011000101000 1 # or bp, b
0xxx10000010001010010 000010010110101000101000 1 # or bp, c
0xxx10000010001010011 000010010110111000101000 1 # or bp, d
0xxx10000010001010100 000010010111001000101000 1 # or bp, e
0xxx10000010001010101 000010010111011000101000 1 # or bp, bp
0xxx10000010001010110 000010010111101000101000 1 # or bp, sp
0xxx10000010001100000 000010011010001000110000 1 # or sp, a
0xxx10000010001100001 000010011010011000110000 1 # or sp, b
0xxx10000010001100010 000010011010101000110000 1 # or sp, c
0xxx10000010001100011 000010011010111000110000 1 # or sp, d
0xxx10000010001100100 000010011011001000110000 1 # or sp, e
0xxx10000010001100101 000010011011011000110000 1 # or sp, bp
0xxx10000010001100110 000010011011101000110000 1 # or sp, sp
0xxx10000011000000000 000010000010001100000000 1 # xor a, a
0xxx10000011000000001 000010000010011100000000 1 # xor a, b
0xxx10000011000000010 000010000010101100000000 1 # xor a, c
0xxx10000011000000011 000010000010111100000000 1 # xor a, d
0xxx10000011000000100 000010000011001100000000 1 # xor a, e
0xxx10000011000000101 000010000011011100000000 1 # xor a, bp
0xxx10000011000000110 000010000011101100000000 1 # xor a, sp
0xxx10000011000010000 000010000110001100001000 1 # xor b, a
0xxx10000011000010001 000010000110011100001000 1 # xor b, b
0xxx10000011000010010 000010000110101100001000 1 # xor b, c
0xxx10000011000010011 000010000110111100001000 1 # xor b, d
0xxx10000011000010100 000010000111001100001000 1 # xor b, e
0xxx10000011000010101 000010000111011100001000 1 # xor b, bp
0xxx10000011000010110 000010000111101100001000 1 # xor b, sp
0xxx10000011000100000 000010001010001100010000 1 # xor c, a
0xxx10000011000100001 000010001010011100010000 1 # xor c, b
0xxx10000011000100010 000010001010101100010000 1 # xor c, c
0xxx10000011000100011 000010001010111100010000 1 # xor c, d
0xxx10000011000100100 000010001011001100010000 1 # xor c, e
0xxx10000011000100101 000010001011011100010000 1 # xor c, bp
0xxx10000011000100110 000010001011101100010000 1 # xor c, sp
0xxx10000011000110000 000010001110001100011000 1 # xor d, a
0xxx10000011000110001 000010001110011100011000 1 # xor d, b
0xxx10000011000110010 000010001110101100011000 1 # xor d, c
0xxx10000011000110011 000010001110111100011000 1 # xor d, d
0xxx10000011000110100 000010001111001100011000 1 # xor d, e
0xxx10000011000110101 000010001111011100011000 1 # xor d, bp
0xxx10000011000110110 000010001111101100011000 1 # xor d, sp
0xxx10000011001000000 000010010010001100100000 1 # xor e, a
0xxx10000011001000001 000010010010011100100000 1 # xor e, b
0xxx10000011001000010 000010010010101100100000 1 # xor e, c
0xxx10000011001000011 000010010010111100100000 1 # xor e, d
0xxx10000011001000100 000010010011001100100000 1 # xor e, e
0xxx10000011001000101 000010010011011100100000 1 # xor e, bp
0xxx10000011001000110 000010010011101100100000 1 # xor e, sp
0xxx10000011001010000 000010010110001100101000 1 # xor bp, a
0xxx10000011001010001 000010010110011100101000 1 # xor bp, b
0xxx10000011001010010 000010010110101100101000 1 # xor bp, c
0xxx10000011001010011 000010010110111100101000 1 # xor bp, d
0xxx10000011001010100 000010010111001100101000 1 # xor bp, e
0xxx10000011001010101 000010010111011100101000 1 # xor bp, bp
0xxx10000011001010110 000010010111101100101000 1 # xor bp, sp
0xxx10000011001100000 000010011010001100110000 1 # xor sp, a
0xxx10000011001100001 000010011010011100110000 1 # xor sp, b
0xxx10000011001100010 000010011010101100110000 1 # xor sp, c
0xxx10000011001100011 000010011010111100110000 1 # xor sp, d
0xxx10000011001100100 000010011011001100110000 1 # xor sp, e
0xxx10000011001100101 000010011011011100110000 1 # xor sp, bp
0xxx10000011001100110 000010011011101100110000 1 # xor sp, sp
0xxx10000011100000000 000010000010001110000000 1 # shr a, a
